"workerId","batch","condition","baseline","award_value","exchange","start_gain_frame","total_bonus","duration","numeracy","gender","age","education","chart_use","accountValue","groundTruth","intervene","outcome","pAwardCurrent","pAwardNew","pAwardWith","pAwardWithout","pSup","payoff","respTime","startTime","trial","trialDur","trialIdx"
"bf797261",4,"means_only",0.5,2.25,0.5,"True",5,717.772000074387,11,"M","25-34","Associate's degree","Weekly",72.5,0.206,1,"True",NA,NA,0.8771014,0.5,100,-1,1565719540.877,1565719536.247,"23",4.63000011444092,"10"
"bf797261",4,"means_only",0.5,2.25,0.5,"True",5,717.772000074387,11,"M","25-34","Associate's degree","Weekly",71.5,0.107,1,"True",NA,NA,0.960525,0.5,100,-1,1565719547.685,1565719543.605,"24",4.07999992370605,"5"
"bf797261",4,"means_only",0.5,2.25,0.5,"True",5,717.772000074387,11,"M","25-34","Associate's degree","Weekly",69.25,0.1,0,"False",NA,NA,0.9650368,0.5,100,-2.25,1565719743.676,1565719550.502,"25",193.174000024796,"4"
"bf797261",4,"means_only",0.5,2.25,0.5,"True",5,717.772000074387,11,"M","25-34","Associate's degree","Weekly",69.25,0.359,0,"True",NA,NA,0.6948449,0.5,50,0,1565719751.444,1565719747.377,"26",4.06699991226196,"12"
"bf797261",4,"means_only",0.5,2.25,0.5,"True",5,717.772000074387,11,"M","25-34","Associate's degree","Weekly",68.25,0.025,1,"True",NA,NA,0.9972127,0.5,100,-1,1565719760.419,1565719755.214,"27",5.20499992370605,"0"
"bf797261",4,"means_only",0.5,2.25,0.5,"True",5,717.772000074387,11,"M","25-34","Associate's degree","Weekly",68.25,0.036,0,"True",NA,NA,0.9944311,0.5,100,0,1565719768.019,1565719763.179,"28",4.84000015258789,"1"
"bf797261",4,"means_only",0.5,2.25,0.5,"True",5,717.772000074387,11,"M","25-34","Associate's degree","Weekly",61.75,0.50001,0,"True",0.5,0.5,NA,NA,100,2.25,1565719098.208,1565719092.635,"mock",5.57299995422363,"mock"
"bf797261",4,"means_only",0.5,2.25,0.5,"True",5,717.772000074387,11,"M","25-34","Associate's degree","Weekly",61.75,0.6,0,"True",NA,NA,0.9774189,0.95,100,2.25,1565719116.017,1565719101.703,"practice1",14.3139998912811,"practice"
"bf797261",4,"means_only",0.5,2.25,0.5,"True",5,717.772000074387,11,"M","25-34","Associate's degree","Weekly",59.5,0.4,0,"True",NA,NA,0.9774189,0.95,50,0,1565719377.406,1565719364.6,"practice2",12.805999994278,"practice"
"488671fd",6,"HOPs",0.5,2.25,0.5,"True",0,760.699000120163,11,"M","25-34","High school diploma or GED","Weekly",58.5,0.85,1,"False",NA,NA,0.9287213,0.5,90,-1,1565732827.65,1565732800.973,"1",26.6770000457764,"20"
"488671fd",6,"HOPs",0.5,2.25,0.5,"True",0,760.699000120163,11,"M","25-34","High school diploma or GED","Weekly",60.75,0.548,0,"True",NA,NA,0.5677969,0.5,50,2.25,1565732844.075,1565732833.143,"2",10.9320001602173,"14"
"488671fd",6,"HOPs",0.5,2.25,0.5,"True",0,760.699000120163,11,"M","25-34","High school diploma or GED","Weekly",62,0.947,1,"True",NA,NA,0.9890494,0.5,95,1.25,1565732863.496,1565732851.587,"3",11.9090001583099,"25"
"488671fd",6,"HOPs",0.5,2.25,0.5,"True",0,760.699000120163,11,"M","25-34","High school diploma or GED","Weekly",63.25,0.964,1,"True",NA,NA,0.9944311,0.5,85,1.25,1565732878.753,1565732869.333,"4",9.42000007629395,"26"
