"workerId","condition","batch","counterbalance","totalBonus","duration","numeracy","bet","bonus","cles","groundTruth","keep","outcome","pay","respTime","sdDiff","startTime","trial","trialDur","trialIdx","win","repaired"
"6b8e37de","means_only",4,2,0.910465914640069,1179.02500009537,9,500,0.0526493212669683,50,0.884,375,"True",877.488687782805,1550030779.759,1,1550030766.854,10,12.9049999713898,7,502.488687782805,"False"
"6b8e37de","means_only",4,2,0.910465914640069,1179.02500009537,9,500,0.0526493212669683,60,0.884,375,"True",877.488687782805,1550030809.35888,5,1550030786.159,11,23.1998825073242,17,502.488687782805,"True"
"6b8e37de","means_only",4,2,0.910465914640069,1179.02500009537,9,200,0.0474285714285714,50,0.945,600,"True",790.47619047619,1550030831.386,1,1550030818.815,12,12.5709998607635,8,190.47619047619,"False"
"6b8e37de","means_only",4,2,0.910465914640069,1179.02500009537,9,700,0.0600233160621762,58,0.772,225,"True",1000.38860103627,1550030857.946,5,1550030840.789,13,17.1570000648499,16,775.388601036269,"False"
"6b8e37de","means_only",4,2,0.910465914640069,1179.02500009537,9,100,0.0460384615384615,50,0.975,675,"True",767.307692307692,1550030889.155,1,1550030866.137,14,23.0179998874664,9,92.3076923076923,"False"
"6b8e37de","means_only",4,2,0.910465914640069,1179.02500009537,9,100,0.0405,50,0.6,675,"False",675,1550030914.481,5,1550030901.802,15,12.6789999008179,15,0,"False"
"6b8e37de","means_only",4,2,0.910465914640069,1179.02500009537,9,1,0.044955,30,0.025,749.25,"False",749.25,1550030936.069,5,1550030918.922,16,17.1470000743866,10,0,"False"
"6b8e37de","means_only",4,2,0.910465914640069,1179.02500009537,9,10,0.045045,50,0.4,750.75,"False",750.75,1550030950.75,5,1550030941.524,17,9.2260000705719,14,0,"False"
"6b8e37de","means_only",4,2,0.910465914640069,1179.02500009537,9,1,0.044955,35,0.055,749.25,"False",749.25,1550030982.154,5,1550030953.851,18,28.3029999732971,11,0,"False"
"6b8e37de","means_only",4,2,0.910465914640069,1179.02500009537,9,10,0.04455,50,0.228,742.5,"False",742.5,1550031003.002,5,1550030985.655,19,17.3470001220703,13,0,"False"
"6b8e37de","means_only",4,2,0.910465914640069,1179.02500009537,9,1,0.044955,30,0.116,749.25,"False",749.25,1550031025.83273,5,1550031006.332,20,19.5007307529449,12,0,"True"
