"workerId","batch","condition","baseline","award_value","exchange","start_means","total_bonus","duration","numeracy","gender","age","education","chart_use","accountValue","groundTruth","intervene","outcome","pAwardCurrent","pAwardNew","pAwardWith","pAwardWithout","pSup","payoff","respTime","startTime","trial","trialDur","trialIdx"
"c3de4118",4,"intervals",0.5,2.25,0.2,"False",3,535.494999885559,11,"M","25-34","Some college, no degree","Daily",88,0.873,1,"True",NA,NA,0.9465786,0.5,90,1.25,1567442043.173,1567442037.667,"22",5.50600004196167,"8"
"c3de4118",4,"intervals",0.5,2.25,0.2,"False",3,535.494999885559,11,"M","25-34","Some college, no degree","Daily",89.25,0.999,1,"True",NA,NA,0.9999938,0.5,100,1.25,1567442052.099,1567442046.003,"23",6.09599995613098,"15"
"c3de4118",4,"intervals",0.5,2.25,0.2,"False",3,535.494999885559,11,"M","25-34","Some college, no degree","Daily",91.5,0.784,0,"True",NA,NA,0.8665552,0.5,70,2.25,1567442080.444,1567442056.264,"24",24.1800000667572,"4"
"c3de4118",4,"intervals",0.5,2.25,0.2,"False",3,535.494999885559,11,"M","25-34","Some college, no degree","Daily",93.75,0.709,0,"True",NA,NA,0.7822155,0.5,60,2.25,1567442090.956,1567442084.814,"25",6.14200019836426,"3"
"c3de4118",4,"intervals",0.5,2.25,0.2,"False",3,535.494999885559,11,"M","25-34","Some college, no degree","Daily",96,0.8,0,"True",NA,NA,0.8830224,0.5,70,2.25,1567442099.115,1567442093.887,"26",5.2279999256134,"5"
"c3de4118",4,"intervals",0.5,2.25,0.2,"False",3,535.494999885559,11,"M","25-34","Some college, no degree","Daily",97.25,0.975,1,"True",NA,NA,0.9972127,0.5,100,1.25,1567442107.283,1567442102.098,"27",5.18499994277954,"14"
"c3de4118",4,"intervals",0.5,2.25,0.2,"False",3,535.494999885559,11,"M","25-34","Some college, no degree","Daily",97.25,0.622,0,"False",NA,NA,0.6691917,0.5,60,0,1567442127.317,1567442110.466,"28",16.8509998321533,"2"
"c3de4118",4,"intervals",0.5,2.25,0.2,"False",3,535.494999885559,11,"M","25-34","Some college, no degree","Daily",97.25,0.9,0,"False",NA,NA,0.9650368,0.5,90,0,1567442136.112,1567442130.436,"29",5.67599987983704,"10"
"c3de4118",4,"intervals",0.5,2.25,0.2,"False",3,535.494999885559,11,"M","25-34","Some college, no degree","Daily",97.25,0.525,0,"False",NA,NA,0.5353322,0.5,51,0,1567442144.763,1567442139.357,"30",5.40599989891052,"1"
"c3de4118",4,"intervals",0.5,2.25,0.2,"False",3,535.494999885559,11,"M","25-34","Some college, no degree","Daily",65.25,0.5,0,"False",0.5,0.5,NA,NA,70,-2.25,1567441695.258,1567441686.486,"mock",8.77199983596802,"mock"
"c3de4118",4,"intervals",0.5,2.25,0.2,"False",3,535.494999885559,11,"M","25-34","Some college, no degree","Daily",68.75,0.999,1,"True",NA,NA,0.9999938,0.5,100,1.25,1567441735.229,1567441706.837,"practice1",28.3920001983643,"practice"
"c3de4118",4,"intervals",0.5,2.25,0.2,"False",3,535.494999885559,11,"M","25-34","Some college, no degree","Daily",68.75,0.999,1,"True",NA,NA,0.9999938,0.5,100,1.25,1567441964.047,1567441913.772,"practice2",50.2749998569489,"practice"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",68.75,0.975,1,"True",NA,NA,0.9972127,0.5,60,1.25,1567441931.249,1567441925.001,"1",6.2480001449585,"14"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",67.75,0.709,1,"False",NA,NA,0.7822155,0.5,60,-1,1567441943.32,1567441936.183,"2",7.13699984550476,"3"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",69,0.946,1,"True",NA,NA,0.9886527,0.5,60,1.25,1567441954.097,1567441948.053,"3",6.04399991035461,"12"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",70.25,0.873,1,"True",NA,NA,0.9465786,0.5,55,1.25,1567441965.6,1567441958.469,"4",7.13099980354309,"8"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",71.5,0.843,1,"True",NA,NA,0.9231176,0.5,55,1.25,1567441975.294,1567441969.784,"5",5.50999999046326,"7"
"3d0db9a6",4,"intervals",0.5,2.25,0.2,"False",2.65,1015.86500000954,11,"F","55-64","Bachelor's degree","Weekly",72.75,0.922,1,"True",NA,NA,0.9778051,0.5,55,1.25,1567441983.028,1567441978.531,"6",4.49700021743774,"11"
