"workerId","batch","condition","baseline","contract_value","exchange","start_gain_frame","total_bonus","duration","numeracy","gender","age","education","chart_use","companyValue","groundTruth","intervene","outcome","pContractNew","pContractOld","pSup","payoff","respTime","startTime","trial","trialDur","trialIdx"
"ada23cdd",3,"HOPs",0.5,2.25,0.04803,"True",2.33,1118.18400001526,11,"M","25-34","High school diploma or GED","Monthly or less",50.5,0.112,1,"True",0.9572658,0.5,10,-1,1563989597.369,1563989571.102,"22",26.2669999599457,"5"
"ada23cdd",3,"HOPs",0.5,2.25,0.04803,"True",2.33,1118.18400001526,11,"M","25-34","High school diploma or GED","Monthly or less",49.5,0.148,1,"True",0.9304679,0.5,5,-1,1563989616.306,1563989600.708,"23",15.5980000495911,"6"
"ada23cdd",3,"HOPs",0.5,2.25,0.04803,"True",2.33,1118.18400001526,11,"M","25-34","High school diploma or GED","Monthly or less",48.5,0.046,1,"True",0.9913263,0.5,5,-1,1563989663.902,1563989618.785,"24",45.1169998645782,"2"
"ada23cdd",3,"HOPs",0.5,2.25,0.04803,"True",2.33,1118.18400001526,11,"M","25-34","High school diploma or GED","Monthly or less",53.25,0.6,0,"True",0.9774189,0.95,12,2.25,1563988894.058,1563988749.649,"practice1",144.40900015831,"practice"
"ada23cdd",3,"HOPs",0.5,2.25,0.04803,"True",2.33,1118.18400001526,11,"M","25-34","High school diploma or GED","Monthly or less",51,0.4,0,"True",0.9774189,0.95,20,0,1563989315.899,1563989280.671,"practice2",35.2279999256134,"practice"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",52.25,0.753,1,"True",0.8333612,0.5,75,1.25,1563991177.945,1563991169.459,"1",8.48599982261658,"15"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",53.5,0.975,1,"True",0.9972127,0.5,80,1.25,1563991190.319,1563991183.021,"2",7.29800009727478,"23"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",54.75,0.937,1,"True",0.9849753,0.5,60,1.25,1563991201.276,1563991193.44,"3",7.83599996566772,"20"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",54.75,0.807,0,"False",0.8903388,0.5,25,0,1563991212.016,1563991204.29,"4",7.7260000705719,"16"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",54.75,0.617,0,"False",0.6634073,0.5,25,0,1563991225.783,1563991216.054,"5",9.72900009155273,"13"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",56,0.954,1,"True",0.9913263,0.5,55,1.25,1563991235.36,1563991229.292,"6",6.06799983978271,"21"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",57.25,0.852,1,"True",0.9304679,0.5,30,1.25,1563991256.09,1563991239.515,"7",16.5749998092651,"17"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",58.5,0.807,1,"True",0.8903388,0.5,35,1.25,1563991268.849,1563991258.867,"8",9.98199987411499,"16"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",60.75,0.753,0,"True",0.8333612,0.5,20,2.25,1563991293.118,1563991272.177,"9",20.9409999847412,"15"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",63,0.54,0,"True",0.5561041,0.5,10,2.25,1563991303.32,1563991296.338,"10",6.98199987411499,"12"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",63,0.689,0,"False",0.7574337,0.5,35,0,1563991313.978,1563991305.864,"11",8.11399984359741,"14"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",64.25,0.617,1,"True",0.6634073,0.5,33,1.25,1563991332.27,1563991317.2,"12",15.0699999332428,"13"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",63.25,0.148,1,"True",0.9304679,0.5,10,-1,1563991391.192,1563991380.958,"13",10.2339999675751,"6"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",62.25,0.247,1,"True",0.8333612,0.5,25,-1,1563991401.209,1563991394.561,"14",6.64800000190735,"8"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",61.25,0.311,1,"True",0.7574337,0.5,15,-1,1563991411.935,1563991404.008,"15",7.92700004577637,"9"
"e07734a3",3,"HOPs",0.5,2.25,0.04803,"True",2.44,472.654000043869,8,"F","45-54","Associate's degree","Monthly or less",58,0.063,1,"False",0.9849753,0.5,10,-3.25,1563991425.663,1563991414.389,"16",11.2740001678467,"3"
