"workerId","batch","n_trials","n_data_conds","condition","baseline","es_threshold","start_means","award_value","starting_value","exchange","cutoff","max_bonus","total_bonus","duration","numeracy","gender","age","education","chart_use","difficulties","accountValue","groundTruth","intervene","outcome","pAwardWith","pAwardWithout","pSup","payoff","respTime","sdDiff","startTime","trial","trialDur","trialIdx"
"290ad208",2,34,18,"HOPs",0.5,0.9,"True",3.17,107.78,0.08,150,3,2.39,870.386999845505,11,"M","25-34","Associate's degree","Weekly","None",155.01,0.55,0,"True",0.57053,0.5,50,3.17,1569943356.626,15,1569943348.877,"20",7.74899983406067,"9"
"290ad208",2,34,18,"HOPs",0.5,0.9,"True",3.17,107.78,0.08,150,3,2.39,870.386999845505,11,"M","25-34","Associate's degree","Weekly","None",157.18,0.849,1,"True",0.92787,0.5,100,2.17,1569943371.946,5,1569943362.668,"21",9.27800011634827,"6"
"290ad208",2,34,18,"HOPs",0.5,0.9,"True",3.17,107.78,0.08,150,3,2.39,870.386999845505,11,"M","25-34","Associate's degree","Weekly","None",156.18,0.754,1,"False",0.83415,0.5,80,-1,1569943390.535,15,1569943375.597,"22",14.938000202179,"13"
"290ad208",2,34,18,"HOPs",0.5,0.9,"True",3.17,107.78,0.08,150,3,2.39,870.386999845505,11,"M","25-34","Associate's degree","Weekly","None",158.35,0.849,1,"True",0.92787,0.5,80,2.17,1569943407.5,15,1569943394.506,"23",12.9939999580383,"14"
"290ad208",2,34,18,"HOPs",0.5,0.9,"True",3.17,107.78,0.08,150,3,2.39,870.386999845505,11,"M","25-34","Associate's degree","Weekly","None",161.52,0.668,0,"True",0.73088,0.5,50,3.17,1569943426.115,5,1569943411.983,"24",14.1319999694824,"3"
"290ad208",2,34,18,"HOPs",0.5,0.9,"True",3.17,107.78,0.08,150,3,2.39,870.386999845505,11,"M","25-34","Associate's degree","Weekly","None",163.69,0.721,1,"True",0.79653,0.5,80,2.17,1569943441.582,15,1569943429.877,"25",11.7049999237061,"12"
"290ad208",2,34,18,"HOPs",0.5,0.9,"True",3.17,107.78,0.08,150,3,2.39,870.386999845505,11,"M","25-34","Associate's degree","Weekly","None",166.86,0.5,0,"True",0.5,0.5,50,3.17,1569943455.234,5,1569943447.483,"26",7.75099992752075,"0"
"290ad208",2,34,18,"HOPs",0.5,0.9,"True",3.17,107.78,0.08,150,3,2.39,870.386999845505,11,"M","25-34","Associate's degree","Weekly","None",169.03,0.912,1,"True",0.97206,0.5,90,2.17,1569943473.692,5,1569943459.191,"27",14.5009999275208,"7"
"290ad208",2,34,18,"HOPs",0.5,0.9,"True",3.17,107.78,0.08,150,3,2.39,870.386999845505,11,"M","25-34","Associate's degree","Weekly","None",169.03,0.611,0,"False",0.65464,0.5,50,0,1569943488.841,5,1569943477.383,"28",11.4580001831055,"2"
"290ad208",2,34,18,"HOPs",0.5,0.9,"True",3.17,107.78,0.08,150,3,2.39,870.386999845505,11,"M","25-34","Associate's degree","Weekly","None",171.2,0.95,1,"True",0.99,0.5,100,2.17,1569943504.07,15,1569943494.011,"29",10.0590000152588,"16"
